node,Betweenness Centrality
201168,0.024173122713141947
100248,0.017831675359125294
287150,0.012599864680428223
355330,0.012013981079616603
154274,0.009517154807081927
22893,0.009197081772250324
337638,0.008581732347700682
124836,0.008029910872600623
16769,0.007561808741148216
550093,0.0073050684044150835
146497,0.00615639439516906
325009,0.005749313427670195
153248,0.005451453574323789
16787,0.005361939412315298
695178,0.005284224073188425
897001,0.005190307252851193
371461,0.005067977198102675
731519,0.005034386007561542
17262,0.004952685707044289
160938,0.004847536091942917
316124,0.004739056254572168
430398,0.004631689328422722
167205,0.004570255270225426
1298548,0.004504145299115336
412129,0.00444222024815852
154363,0.004404064991030609
262710,0.004387985004825446
327875,0.004297016323654036
628506,0.00426789968182707
1241013,0.004224865659836654
681798,0.004117970405573144
216546,0.004113789454165537
735937,0.004100917170515187
282325,0.004065277933831273
1471008,0.004060610561183208
236410,0.004019078027837396
357236,0.0039191996981173425
170443,0.003913441166275587
58567,0.003908341420156938
342306,0.0038852090607191603
610111,0.0038392754009197072
76446,0.0037825057032245166
476074,0.003718618306126772
139528,0.0036976756071075215
572292,0.0036566690371523073
694003,0.0036565978798321947
290740,0.003631455756853163
502887,0.003619616983038849
135099,0.0035734555652195033
331296,0.00352956215087645
134133,0.0034490330336225863
99245,0.003423968644247775
321866,0.0033687621759190415
175050,0.0033387813796361895
816470,0.0033358918657038893
649739,0.0033180483039446933
520061,0.003235209641076502
237689,0.003181603387062355
170061,0.00311956847142045
549285,0.0030597023406943756
918488,0.0030474881165469983
214872,0.0030196865046772763
482765,0.002995141481387795
136806,0.0029137079871671004
376121,0.0028448196604151537
378537,0.002841982228289054
166332,0.002800138096550958
324347,0.0027283521938231184
509803,0.00264281361755107
712166,0.0025896848189840074
321238,0.0025855673219840917
88635,0.002561570591727488
83696,0.0024979675178946384
440424,0.002494827509668178
238895,0.0024932665342845407
50661,0.0024854536126308006
16953,0.002453406837943547
195329,0.0024423914441491475
331494,0.00243660235812734
1067366,0.0024244660849400495
343946,0.0023954648642701753
363784,0.0023677948621326043
374805,0.002347697875870643
113082,0.002290168747752675
335714,0.002288109935391099
163080,0.0022848180721804067
26654,0.0022750542199108156
508657,0.0022563037209983295
646567,0.002254451937552509
1073988,0.0022493844755355646
359335,0.0022376806940078583
291656,0.0022265614665204357
326107,0.0022235719856188306
458302,0.0022157671327492027
476097,0.002200321065475854
343080,0.0021922146865087015
411279,0.0021914824610274
924898,0.0021526668695974523
114420,0.0021292520116087017
33925,0.0021182053674761643
