node,eigenvector_centrality
16453,0.6855832064814738
509053,0.07524996078102593
201168,0.030945840082780358
374805,0.026385387621123097
153248,0.025175683457452552
371461,0.021012850023873014
731519,0.019007694843718045
695178,0.018747941489650557
337638,0.018628874451271142
1298548,0.01827139966260587
16769,0.016742065993080858
124836,0.01624790163650647
303876,0.016156950454384245
283315,0.01605640055019528
325009,0.015950735550455716
909503,0.01586618881789031
84237,0.015642416025418573
1281875,0.015597951130769745
633915,0.015591508959721214
135210,0.015300584851173155
269274,0.015256782483825398
99245,0.015098060911262721
1149796,0.014821126432870882
1576615,0.014781657289389743
1101189,0.014746141296535075
146497,0.014708929685712309
357236,0.014703477745868393
1073988,0.014567493767735203
372343,0.014564893384940469
735937,0.014498235107402196
757962,0.01441663010824751
287150,0.014348046112296372
226890,0.01414095208847412
1201276,0.01406417757473997
628506,0.014016318538579263
1170811,0.013967373892287
1554714,0.01388039816887386
249141,0.013689466873883727
22893,0.013622847422090245
1017513,0.01350963908377911
1241013,0.013436858503075157
380438,0.013339581691612876
537215,0.01332736149905792
100248,0.013317642380561262
154363,0.013140196770218958
109320,0.013105968521741057
58567,0.01303259638398484
512409,0.01297251766711084
193674,0.012940432849162159
788695,0.012889360685520004
282325,0.012876172308345535
340968,0.012826552969924018
237689,0.012794278838611556
749841,0.012789981135443858
465200,0.012722509536406676
520061,0.012689663303424019
1471008,0.012680351912449707
274257,0.01264342687883916
343946,0.01262535500752088
787162,0.012618405031198975
1488388,0.012603249795410278
1555208,0.012565743093218142
204978,0.012496464581504094
447505,0.012418197556891124
350260,0.01240818643840846
134133,0.012362466902027696
139528,0.012345980852340448
393726,0.012330291716852288
35745,0.012260281772559927
278016,0.012249938058854442
944394,0.012249584527694451
1632839,0.012165970392808714
604293,0.012116197223054254
231617,0.012105075981161903
1114975,0.012065815306442384
328128,0.012018116658250528
331494,0.012007623253109057
266250,0.011880713144155449
1208790,0.011879147952869857
167748,0.011878369978623142
135099,0.011848131412159284
440424,0.011847018780308558
614459,0.011800575987493194
1359601,0.011776220728875183
465118,0.011765153659969906
324347,0.01174167001372321
321866,0.011718214039047272
525799,0.011687592165403961
579938,0.011583372679620807
1057989,0.011563914449215762
160938,0.011507502931786625
166332,0.011501453161968947
462509,0.011498853111653051
238895,0.011494201203586985
338391,0.011487503175750875
1063962,0.011486077052656807
195329,0.011473149456096138
659933,0.011449940011288625
663725,0.011429701562152372
508657,0.011387373179006644
