node,Betweenness Centrality
16453,0.3300821778813492
374805,0.024073244156328895
509053,0.013883234278524911
1576615,0.01332306532906905
735937,0.013087268393642468
712166,0.012340524246936796
695178,0.012267300789034579
201168,0.011745112556006777
325009,0.01118194940225563
337638,0.009597853031828247
16769,0.008943220548768643
909503,0.007912166521320128
283315,0.0077005008625570595
758541,0.0076189909321026554
537215,0.007475019830195573
1632839,0.007378971005206897
287150,0.0073600578791640035
1298548,0.007146789873089203
328128,0.007087934578926503
393726,0.0070672149133380316
481265,0.007000726271268812
628506,0.006757245971373551
509531,0.006751706566378816
520061,0.0066642227854733565
278016,0.006482414079633922
1607846,0.006414666895627577
1116950,0.006246865782758126
370813,0.0061195288867816255
282325,0.0059806631231942966
1201276,0.005776436289721641
1101189,0.005734479165821725
757962,0.005664009176672405
731519,0.005638051719678808
226890,0.005545685469210852
99245,0.0054448410371418605
584527,0.005443229229374993
828930,0.005407212605806873
1208790,0.005208031794077352
146497,0.005192706530529486
1091910,0.005058144809639487
576274,0.005034222005141426
84237,0.0049439422600931
462509,0.0049133228092644084
1548829,0.004866793250855482
1124876,0.004491089729187507
1149796,0.0044549041065984115
321866,0.004378781159468763
440424,0.004377879496114279
1057989,0.004329920543505124
695823,0.004262506926696377
303876,0.004250862936558038
1073988,0.004207167389993564
585930,0.004198444377469573
649739,0.004194854894432497
371461,0.0041925370314888
579938,0.004182197858610701
659933,0.004111215829198391
261151,0.004087647209630975
749841,0.00408146409303433
512409,0.0040223102059712525
1657125,0.003999374887938816
22893,0.003889589348544701
163080,0.0038752560013335592
445375,0.003872575881755398
554845,0.0037883035598703374
614459,0.0037217689798236735
482022,0.003702807764823318
372343,0.003690143416762043
779210,0.003686647996754403
343946,0.0035874894158349504
1553684,0.003580283198775606
641949,0.0035790283087378527
357236,0.003556447947086812
386692,0.003534519289295752
153248,0.0035126352999407698
816470,0.0035114906880902106
1170811,0.0035078822380940023
699682,0.003489859981579672
453726,0.003446017535013482
249141,0.0034368386729260827
572292,0.0033979074481766177
881542,0.003394638305198521
135099,0.0033798416193728253
859442,0.0033630232256293634
1334320,0.0033627268166329222
319934,0.0033535558148766313
721052,0.003315193925011624
1158605,0.0033131350445945364
274257,0.0032834274032575144
1554714,0.0032265115380803594
58286,0.0032144625849380463
172630,0.003169023238131049
451436,0.003157543813832058
331494,0.003156682751433368
1090542,0.003151874171349437
1114975,0.00313935222448227
508657,0.0031377264291134336
166332,0.003117274016856835
447505,0.00310171805571207
375096,0.0031001111987141836
